Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Ande Parks,1,Artist writer,NA,1964-10-01,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andersen Gabrych,2,Writer,NA,1973-09-04,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Clarke (comics),1,Artist,NA,NA,NA,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Andy Wilman,1,British television presenter,NA,1962-08-16 and 1969-08-16,1962,NA,NA,NA,NA,NA,NA,NA,1994,NA,NA,NA
Angel Medina (artist),2,Artist,NA,1964-03-25,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angela and Luciana Giussani,2,Writers,NA,NA,NA,1987-02-12,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ann Biderman,1,American screenwriter,NA,1951-08-15,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annabel Jankel,1,British film director,NA,1955-06-01,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anne Rice,4,American writer,NA,1941-10-04,1941,NA,NA,NA,NA,NA,NA,NA,NA,Erotica and Horror fiction and Fantasy literature and Gothic fiction and Christian novel,NA,San Francisco State University
Alcée Fortier,2,American philologist and folklorist,NA,1856-06-05,1856,NA,1914,Louisiana Creole people,NA,NA,NA,NA,1880,NA,NA,NA
Alex Blum,1,Artist,NA,1889-02-07,1889,1969-09-01,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Gansa,2,American screenwriter and prodcuer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Lovy,5,Animator,NA,1913-09-02,1913,1992-02-14,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Saviuk,3,Artist,NA,1952-08-17,1952,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Alexander George Gurney,1,Artist,NA,1902-03-15,1902,1955-12-04,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ali LeRoi,1,American actor and filmmaker,NA,1962-02-12,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Bert Christman,1,Cartoonist,NA,1915-05-31,1915,1942-01-23,1942,NA,United States,NA,NA,NA,NA,NA,NA,NA
Alvin Lee (comics),1,Canadian-borncomic bookartist,NA,1980-01-23,1980,NA,NA,NA,Canadians,NA,NA,NA,NA,NA,NA,NA
Ambrós,1,Spanish comic-book cartoonist,NA,1913-08-31,1913,1992-09-30,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anupam Sinha,2,Comics artist,NA,NA,1962,NA,NA,NA,India,NA,NA,NA,NA,NA,NA,NA
Ardian Syaf,1,Comic Book Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Art Saaf,1,Comics creator,NA,1921-12-04,1921,2007-04-21,2007,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Arthur Pinajian,2,Writer,NA,1914-03-28,1914,1999-08-18,1999,NA,Armenian Americans,NA,NA,NA,NA,NA,NA,NA
Ashley Miller (screenwriter),1,American screenwriter,NA,1971-03-16,1971,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,College of William & Mary
Aurania Rouverol,1,American writer,NA,1886-08-13,1886,1955-06-23,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axel Alonso,1,Editor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Lopresti,5,Artist,NA,1964-01-07,1964,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Abid Surti,1,Indian author painter,NA,1935-05-05,1935,NA,NA,Gujarati people,Indian people,NA,NA,Muslim,NA,NA,NA,Sir Jamsetjee Jeejebhoy School of Art
Adam Hughes,1,Comic book artist,NA,1967-05-05,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Reed,2,American actor,NA,1970-01-08,1970,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Adrian Alphona,9,Canadian comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Gabriele,2,Artist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Al Gordon,7,Writer,NA,1953-06-22,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Weiss (comics),1,Artist,NA,1948-03-07,1948,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Barbara Euphan Todd,1,British writer,NA,1890-01-09,1890,1976-02-02,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barry Wong,1,Hong Kong screenwriter film producer and actor,NA,1946-11-20,1946,1991-10-16,1991,NA,NA,China,NA,NA,1980,Cinema of Hong Kong,NA,NA
Bart Sears,1,Artist,NA,1963-12-17,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beau Smith,2,Writer,NA,1954-12-17,1954,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Beau Willimon,2,Playwright,NA,1977-10-26,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbia University and Juilliard School
Ben Oliver,1,Artist,NA,NA,NA,NA,NA,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA
Ben Queen,1,Film screenwriter and TV producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Roberts (writer),1,American writer,NA,1916-03-23,1916,1984-05-12,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernard Baily,6,Artist,NA,1916-04-05,1916,1996-01-19,1996,NA,United States,NA,NA,NA,NA,NA,NA,NA
Beth Sullivan,1,American television producer,NA,1949-08-29,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevan Lee,4,Australian writer and television executive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill DuBay,1,Editor,NA,1948-01-11,1948,2010-04-15,2010,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bill Justice,1,American animator,NA,1914-02-09,1914,2011-02-10,2011,NA,NA,NA,NA,NA,1937,NA,NA,NA
Bill Woggon,1,American cartoonist,NA,1911-01-01,1911,2003-03-02,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Billy Tan,2,Artist,NA,NA,NA,NA,NA,NA,Malaysia,NA,NA,NA,NA,NA,NA,NA
Bob Hall (comics),2,Writer,NA,1944-10-16,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Haney,27,Writer,NA,1926-03-15,1926,2004-11-25,2004,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Bob Rozakis,10,Writer,NA,1951-04-04,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Schooley,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Wiacek,1,American comic writer,NA,1953-01-07,1953,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bobby A. Suarez,1,Filipino film director,NA,1942-11-27,1942,2010-02-08,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Mull,5,American fiction writer,NA,1974-11-08,1974,NA,NA,NA,United States,NA,NA,NA,2006,Young-adult fiction and Fantasy,Fablehaven (novel),Brigham Young University
Brandon Peterson,5,Writer,NA,1969-11-14,1969,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Brandon Vietti,1,Television producer and director,NA,1963-09-28,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brendan McCarthy,1,Artist,NA,NA,NA,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Brett Breeding,2,American artist,NA,1961-06-13,1961,NA,NA,NA,Citizenship in the United States,NA,NA,NA,NA,NA,NA,NA
Brian Reed,1,Writer,NA,1973-07-01,1973,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Bruce Bairnsfather,1,British artist,NA,NA,1887,NA,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddhadeb Guha,1,Indian writer,NA,1936-06-29,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buzz Dixon,1,Writer,NA,1953-12-07,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byron Howard,5,American film director and animator,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Paris,2,Inker,NA,1911-09-25,1911,1994-03-19,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Soule,2,Comic writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,She-Hulk and Superman/Wonder Woman and Daredevil (Marvel Comics) and Letter_44 and Death of Wolverine,University of Pennsylvania and Columbia Law School
Charles Thorson,2,Cartoonist,NA,1890-08-29,1890,1966-08-07,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Burnham,1,Comic book artist,NA,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Giarrusso,1,Comic book artistand cartoonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Hayward,1,American television writer and producer,NA,1925-06-19,1925,2006-11-20,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Roberson (author),1,American writer,NA,1970-08-25,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Warner (comics),1,Writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuck Patton,8,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clay Mann,1,artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton Crain,3,Artist,NA,NA,1975,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Clayton Henry,8,Comic book artist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Cliff Chiang,2,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colin MacNeil,1,Artist,NA,NA,NA,NA,NA,NA,British people,NA,NA,NA,NA,NA,NA,NA
Craig Johnson (author),1,American writer,NA,1961-01-16,1961,NA,NA,NA,United States,NA,NA,NA,NA,Detective fiction and Western (genre) and Crime fiction,NA,NA
Craig Kyle,5,Writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Craig Rousseau,1,Artist,NA,1971-04-26,1971,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Craig Thomas (screenwriter),6,American wcreenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cullen Bunn,1,American comic writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynthia Martin,1,Cartoonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal Dalton,2,Director,NA,NA,1908,NA,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlo Vergara,1,Writer Illustrator Graphic Designer Comics Creator,NA,1971-01-25,1971,NA,NA,NA,Filipinos,NA,NA,NA,NA,NA,NA,NA
Carter Bays,6,American television writer and producer,NA,1975-08-12,1975,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA
Cary Burkett,1,Comic book writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Danny Kallis,6,American television producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danny McBride,1,Actor producer stand-up comedian writer,NA,1976-12-29,1976,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Danny Zialcita,1,Filipino movie director,NA,1939-11-24,1939,2013-03-10,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dante Quinterno,1,Artist,NA,1909-10-26,1909,2003-05-14,2003,NA,Argentina,NA,NA,NA,NA,NA,NA,NA
Darren G. Davis,2,Publisher,NA,1968-07-08,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Lynn Bousman,1,American film director and screenwriter,NA,1979-01-11,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darryl Banks,6,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Filoni,1,American film director,NA,1974-06-07,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David A. Williams,1,American chief executive of a Charity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Aja,1,Spanishcomic bookartist,NA,1977-04-16,1977,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
David Anthony Kraft,9,Writer,NA,NA,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Baron (comics),1,Americancomic bookcolorist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
David Callaham,1,. American screenwriter,NA,1977-10-24,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Michigan
David Davis (TV producer),1,Television producer television writer,NA,NA,1937,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA
David Hoberman,1,Film and television producer,NA,1952-09-19,1952,NA,NA,NA,NA,NA,NA,NA,1977,NA,NA,NA
David Horvath,1,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David López (artist),1,Artist,NA,NA,1975,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
David Morrell,2,Canadian writer,NA,1943-04-24,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Blood (novel),St. Jeromes University and Pennsylvania State University
David Nakayama,2,Artist,NA,1978-08-15,1978,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
David Quinn (writer),1,american comics writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Slack,1,American screenwriter,NA,NA,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Vern Reed,1,Comics Writer,NA,NA,1924,NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Weber,1,Author,NA,1952-10-24,1952,NA,NA,NA,NA,NA,NA,NA,NA,Alternate history and Science fiction and Fantasy,Honor Harrington and Safehold,NA
Dennis Marks (screenwriter),1,Screen writer,NA,1932-08-02,1932,2006-01-10,2006,NA,NA,NA,NA,NA,1963,NA,NA,NA
Dennis Neville,3,Co-creator of Hawkman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dick Briefer,1,Artist,NA,1915-01-09,1915,NA,1980,NA,United States,NA,NA,NA,NA,NA,NA,NA
Dick Clair,1,Actor comedian writer,NA,1931-11-11 and 1931-11-12,1931,1988-12-12,1988,NA,NA,NA,NA,NA,1972,NA,NA,NA
Diederiekje Bok,1,Inventor,NA,1970-12-23,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Don Hudson,1,American football player and coach,NA,1929-11-20,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Don Kramer,1,American artist,NA,1969-04-06,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois Wesleyan University
Donald F. Glut,3,Writer director musician actor,NA,1944-02-19,1944,NA,NA,NA,NA,NA,NA,NA,1953,NA,NA,NA
Dorothy L. Sayers,2,British woman novelist,NA,1893-06-13,1893,1957-12-17,1957,NA,England,NA,NA,NA,NA,Crime fiction,NA,NA
Doselle Young,1,Graphic novelist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Doug Braithwaite,1,British comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Hazlewood,2,Americancomic bookartist,NA,1954-09-20,1954,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Doug Wheatley,3,Canadian comicbook artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan Rouleau,4,Writer,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Dupa,1,comic artist,NA,1945-02-12,1945,2000-11-08,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. G. Chichester,2,Writer,NA,1964-08-22,1964,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Damion Scott,3,Artist,NA,1976-12-28,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Fraga,2,Americancomic book writerand artist,NA,1973-06-19,1973,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Dan Vado,1,Publisher,NA,1959-09-09,1959,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Daniel Acuña,3,Spanishcomic bookartist,NA,NA,NA,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
Daniel Way,3,Writer,NA,1974-12-27,1974,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Ed McGuinness,9,Artist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Eddy Barrows,2,Braziliancomic book artist,NA,NA,NA,NA,NA,NA,Brazilians,NA,NA,NA,NA,NA,NA,NA
Edward Allen Bernero,3,American television director producer and writer,NA,1962-08-29,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleanor Updale,1,British children's writer,NA,NA,1953,NA,NA,NA,NA,NA,NA,NA,2003,NA,Montmorency series,St Annes College Oxford and Queen Mary University of London
Elmer Wexler,1,Cartoonist,NA,1918-08-14,1918,2007-10-03,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emma Ríos,2,Spanish comic book artist,NA,1976-04-04,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E.J. Altbacker,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA
Earl Duvall,1,Artist,NA,1898-04-02,1898,1969-01-07,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
Earl Mac Rauch,1,Writer and screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dartmouth College
Ed. Weinberger,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ed Benedict,1,American animator,NA,1912-08-23,1912,2006-08-28,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Kripke,9,American writer television director television producer,NA,1974-04-24,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Luke,2,Writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Powell (comics),3,Writer,NA,1975-03-08,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erica Messer,1,Television writer producer and story editor.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernest Hart,1,English footballer,NA,1902-01-03,1902,1954-07-21,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esad Ribić,1,Comic book artist,NA,1972-11-10,1972,NA,NA,NA,Croats,NA,NA,NA,NA,NA,NA,NA
Francis Manapul,1,Artist,NA,NA,NA,NA,NA,NA,Filipino Canadians,NA,NA,NA,NA,NA,NA,NA
Francisco Coching,1,Comics artist,NA,1919-01-29,1919,1998-09-01,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Borth,1,Americancomic book artist,NA,1918-04-01,1918,2009-08-09,2009,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Frank S. Pepper,2,Writer,NA,1910-02-08,1910,1988-12-11,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Thomas (comics),1,Cartoonist,NA,NA,1914,NA,1968,NA,United States,NA,NA,NA,NA,NA,NA,NA
Frank Tieri (writer),11,Writer,NA,1970-12-01,1970,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Fred Guardineer,4,Illustrator,NA,1913-10-03,1913,2002-09-13,2002,NA,United States,NA,NA,NA,NA,NA,NA,NA
Fred Van Lente,4,Writer,NA,1972-02-14,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freddie Williams II,1,American comic book artist,NA,1977-05-30,1977,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Farooq Qaiser,1,Pakistani artist writer and actor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fernando Pasarin,1,Artist,NA,NA,NA,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
Foz Allan,1,British writer and producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France Herron,7,Comics writer,NA,NA,1918,NA,1966,NA,United States,NA,NA,NA,NA,NA,NA,NA
Gary Scott Thompson,1,American television producer,NA,1959-10-07,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Brenner,3,American cartoonist,NA,NA,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Gladir,2,Writer,NA,1925-09-27,1925,2013-04-03,2013,NA,United States,NA,NA,NA,NA,NA,NA,NA
George Kapitan,2,Comic-book writer,NA,1919-07-23,1919,1996-11-27,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kashdan,1,Americancomic book writerand editor,NA,1928-05-17,1928,2006-06-03,2006,NA,Americans,NA,NA,NA,NA,NA,NA,NA
George Mandel,1,American writer,NA,1920-02-11,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Papp,15,Artist,NA,1916-01-20,1916,1989-08-08,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
George W. Trendle,3,American writer,NA,1884-07-04,1884,1972-05-10,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA
