Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Mike S. Miller,1,Illustrator,NA,NA,1971,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Mike Vosburg,3,American comics artist,NA,NA,1947,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Mitch Brian,1,American screenwriter,NA,1961-10-15,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Burgess,2,American writer and producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Sopranos and Blue Bloods (TV series),NA
Miyuki Okumura,1,Cinnamoroll designer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morris (cartoonist),1,cartoonist,NA,1923-12-01,1923,2001-07-16,2001,NA,Belgium,NA,NA,NA,NA,NA,NA,NA
Mukul S. Anand,1,Indian director and producer,NA,1951-10-11,1951,1997-09-07,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nat Gertler,1,Writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Nathan Edmondson,1,Comic book writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nathan Greno,3,American film director and animator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbus College of Art and Design
Neil Cross,1,New Zealand writer,NA,1969-02-09 and 1969-09-02,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctor Who and Spooks and Luther (TV series),NA
Nestor Redondo,4,Comic artist,NA,1928-05-04,1928,1995-12-30,1995,NA,Filipinos,NA,NA,NA,NA,NA,NA,NA
Nic Pizzolatto,1,American writer,NA,1975-10-18,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,True Detective (TV series),Louisiana State University and University of Arkansas
Nicholas Stoller,1,British screenwriter,NA,1976-03-19,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nikolay Chernyshevsky,1,Russian critic philosopher writer and magazine editor,NA,1828-07-12,1828,1889-10-17,1889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norm Rapmund,1,Comic inker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Đorđe Lobačev,1,Russian and Yugoslav comic strip author,NA,1909-03-04,1909,2002-07-23,2002,NA,Russians,NA,NA,NA,NA,NA,NA,NA
Oliver Goldstick,1,American television producer and screenwriter,NA,1961-01-09,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oliver Stone,4,Americanfilm directorandscreenwriter,NA,1946-09-15,1946,NA,NA,NA,NA,NA,NA,Buddhism,1971,NA,NA,Yale University and New York University
Patrick Lussier,1,Canadian film director,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Ness,1,American-British novelist and children's writer,NA,1971-10-17,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Scherberger,1,Comic artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Donovan (writer),1,television and film writer director and producer,NA,1954-06-26,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Gross,2,Film Actor Film Producer Film Writer music composer Film Director,NA,1959-04-30,1959,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA
Paul Pelletier,5,Comic artist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Paul Redford,3,American television writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Ryan (cartoonist),11,Comic artist,NA,1949-09-23,1949,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Paul Smith (animator),1,American animator,NA,1906-03-15,1906,1980-11-17,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pendleton Ward,5,American animator,NA,1982-07-08,1982,NA,NA,NA,United States,NA,NA,NA,2005,Science fiction and Adventure and Science fantasy and Comedy-drama,Adventure Time and Bravest Warriors,NA
Percy Keese Fitzhugh,1,American writer,NA,1876-09-07,1876,1950-07-05,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter Blake (writer),1,American television producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter Cannon,1,American scholar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter Gould (writer),1,American television writer and producer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,Breaking Bad and Too Big to Fail (film) and Better Call Saul,University of Southern California and Sarah Lawrence College
Peter Gross (comics),1,Americancomic bookwriter,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Peter Lord,1,British animator,NA,1953-11-04,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wallace and Gromit and The Pirates! In an Adventure with Scientists!,NA
Peter Nowalk,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter S. Fischer,1,American writer and television producer,NA,NA,1935,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Peter Tolan,1,American television director,NA,1958-07-05,1958,NA,NA,NA,NA,NA,NA,NA,1989,NA,NA,NA
Peyami Safa,1,Turkish writer,NA,NA,1899,1961-06-15,1961,NA,Turkey,NA,NA,NA,NA,NA,Cingöz Recai,NA
Paco Plaza,2,film director,NA,NA,1973,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA
Pat Masulli,2,American comic creator,NA,1930-07-31,1930,1998-06-10,1998,NA,United States,NA,NA,NA,NA,NA,NA,NA
Pres Romanillos,1,American animator,NA,1963-01-11,1963,2010-07-17,2010,NA,NA,NA,NA,NA,1989,NA,NA,NA
Rob Worley,1,American writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert D. San Souci,1,Children's writer,NA,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA
Robert King (writer),1,American television producer and writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Kinoshita,1,American artist,NA,1914-02-24,1914,2014-12-09,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Kurtzman,4,American film director,NA,1964-11-25,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert L. May,1,American writer,NA,1905-07-27,1905,1976-08-10,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert L. Washington III,4,American comic writer,NA,1964-11-29,1964,2012-06-07,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Mark Kamen,2,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,NA
Robert Maxwell (producer),8,Radio and television producer screenwriter,NA,1908-01-31,1908,1971-02-03,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert N. Skir,1,American animator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Rodi,1,Writer,NA,NA,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocky Morton,1,British film and television director,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roger Kumble,1,Film director screenwriter,NA,1966-05-28,1966,NA,NA,NA,NA,NA,NA,NA,1994,NA,NA,NA
Roger McKenzie (comics),6,American comic writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Ron Garney,5,Comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Leavitt,1,American screenwriter,NA,1947-11-07,1947,2008-02-10,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Randall,1,Comic book artist,NA,1956-11-22,1956,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Ron Wilson (comics),11,American comics artist,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Ronald Shusett,2,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roy Thomas (artist),1,Canadian painter,NA,NA,1949,2004-11-13,2004,NA,Canada,NA,NA,NA,NA,NA,NA,NA
Ruben Moreira,3,Puerto Rican comic artist,NA,1922-07-27,1922,1984-05-21,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Coogler,1,Film director,NA,1986-05-23,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USC School of Cinematic Arts and California State University Sacramento
Ryan Stegman,2,comic artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ram Waeerkar,1,Comics artist,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray Gill,1,English footballer,NA,1924-12-08,1924,2001-09-17,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reilly Brown,1,Comic book artist writer,NA,1981-08-05,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Montijo,1,Comic artist,NA,NA,1973,NA,NA,NA,Mexican Americans,NA,NA,NA,NA,NA,NA,NA
Richard Bennett Lamas,1,Uruguayan artist,NA,1968-04-25,1968,NA,NA,NA,Uruguay,NA,NA,NA,NA,NA,NA,NA
Richard Burton (comics),1,British comic editor,NA,NA,NA,NA,NA,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA
Richard Case,3,Americancomics artist,NA,NA,1964,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Richard Comely,1,Artist Creator Entrepreneur,NA,1953-10-09,1953,NA,NA,NA,Canada,NA,NA,NA,NA,NA,NA,NA
Richard Dominguez,6,Comic artist,NA,1960-09-22,1960,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Richard Howell (comics),1,Comic book artist,NA,1955-11-16,1955,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Richard Lipez,1,American writer,NA,1938-11-30,1938,NA,NA,NA,NA,NA,NA,NA,NA,Detective fiction and Journalist and Columnist and Mystery fiction,NA,NA
Richard O'Donnell (playwright),1,American actor and writer,NA,1956-06-17,1956,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,NA
Rick Hoberg,2,American comic artist,NA,1952-07-07,1952,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Rick Remender,4,Comic writer,NA,1973-02-06,1973,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
R. M. Fink,1,Screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rafael Navarro,1,Comic artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajkumar Hirani,1,Indian film director,NA,1962-11-20,1962,NA,NA,Sindhis,NA,NA,NA,NA,NA,NA,NA,NA
Óscar Pinto,1,Portuguese fencer,NA,1962-04-20,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sara Pichelli,1,Comic artist,NA,NA,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sara Shepard,6,Author,NA,1977-04-08,1977,NA,NA,NA,NA,NA,NA,NA,2005,Thriller (genre) and Young-adult fiction and Mystery fiction,Pretty Little Liars,Brooklyn College and New York University
Scooter Braun,1,American talent agent,NA,1981-06-18 and 1981-07-08,1981,NA,NA,NA,NA,NA,NA,NA,2003,Pop music and Rhythm and blues and Hip hop music and Dance music,NA,NA
Scot Eaton,3,Comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Fellows,1,American television producer,NA,1965-06-05 and 1965-09-28,1965,NA,NA,NA,NA,NA,NA,NA,1993,NA,NA,NA
Scott Kolins,9,American illustrator,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Spiegel,1,American film director,NA,1957-12-24,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Vanaman,2,American computer games designer,NA,1984-06-16,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sergio Bonelli,2,Italian comic writer,NA,1932-12-02,1932,2011-09-26,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seymour Kneitel,1,American animator,NA,1908-03-16,1908,1964-07-30,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seymour Reit,1,Writer cartoonist,NA,1918-11-11,1918,2001-11-21,2001,NA,NA,NA,NA,NA,NA,NA,Casper the Friendly Ghost,New York University
Shane Davis,1,comic book artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silvio Horta,12,American television producer and writer,NA,1974-08-14,1974,NA,NA,NA,Cuban Americans,NA,NA,NA,1998,NA,NA,NA
Simon Beaufoy,1,British screenwriter,NA,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simone Bianchi (artist),2,Italiancomic bookillustrator painter andgraphic designer,NA,1972-07-10,1972,NA,NA,NA,Italians,NA,NA,NA,NA,NA,NA,NA
Skip Williamson,1,American cartoonist,NA,1944-08-19,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skottie Young,1,American comics artist,NA,1978-04-03,1978,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Sonny Liew,1,Malaysian comic artist,NA,1974-09-26,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stan Daniels,1,Screenwriter producer director,NA,1934-07-31,1934,2007-04-06,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanley Weiser,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staz Johnson,3,Englishcomic book artistandpenciller,NA,1965-08-12,1965,NA,NA,NA,English people,NA,NA,NA,NA,NA,NA,NA
Stefano Caselli,9,Italian comic artist,NA,1978-02-21,1978,NA,NA,NA,Italians,NA,NA,NA,NA,NA,NA,NA
Stephanie Savage,10,Canadian screenwriter,NA,NA,1969,NA,NA,NA,Canada,NA,NA,NA,NA,NA,The O.C. and Fastlane (TV series) and Gossip Girl,NA
Stephen Susco,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Notre Dame
Sterling Gates,2,Americancomic book writer,NA,1981-03-01,1981,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Steve Crompton,1,Canadian artist,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Erwin,2,Comic Artist,NA,1960-01-16,1960,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Steve Franks,6,American television director producer and writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,University of California Irvine and Loyola Marymount University
Steve Gan,3,Chinese-born Filipino artist,NA,1945-05-22,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Grant,1,American football player,NA,1969-12-23,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Leialoha,6,American comic artist,NA,1952-01-27,1952,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Steve Uy,2,American comic artist,NA,1979-01-11,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steven E. Gordon,1,Animator film director,NA,1960-03-23,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steven Hughes,3,American artist,NA,1954-02-12,1954,2000-02-18,2000,NA,United States,NA,NA,NA,NA,NA,NA,NA
S. N. Swamy,2,Screenwriter who works in Malayalam cinema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sana Amanat,1,Comic book editor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandy Jimenez,1,American comic artist,NA,1968-03-08,1968,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Sanjay Gupta (comics),3,Artist,NA,1966-12-07,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stieg Larsson,2,Swedish writer and journalist,NA,1954-08-15,1954,2004-11-09,2004,NA,NA,NA,NA,NA,1990,Crime fiction and Thriller (genre),Millennium (series),NA
Stuart Hill (author),1,British writer,NA,1958-06-04,1958,NA,NA,NA,NA,NA,NA,NA,2005,History and Fantasy,NA,NA
Sue Rose,1,Television animator producer and writer,NA,1953-08-16 and 1954-07-02,1953,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA
Sujatha Rangarajan,1,Indian screencomposer,NA,1985-05-03,1985,2008-02-27,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Seeley,1,Comic creator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timothy Harris (writer),1,American writer and producer,NA,1946-07-21,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toby Whithouse,1,English television writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA
Todd A. Kessler,1,American television director,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Todd J. Greenwald,1,American television producer and writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Christopher,1,American artist,NA,1952-05-15,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Grindberg,1,Comic illustrator,NA,1961-11-03,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Joyner (writer),1,Writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Kapinos,1,writer television producer,NA,1969-07-12,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Morgan (comics),4,American comic artist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Tom Peyer,6,American comic creator,NA,1954-02-23,1954,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Tom Taylor (writer),1,Australian writer,NA,1978-11-29,1978,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA,NA
Toms (cartoonist),1,Indian cartoonist,NA,NA,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toni Blum,1,American comic writer,NA,NA,1918,NA,1972,NA,United States,NA,NA,NA,NA,NA,NA,NA
Tony McHale,9,British actor and director,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Salmons,1,American comic artist,NA,1957-01-01,1957,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Travel Foreman,1,Americancomic book artist,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Trevor Von Eeden,4,Comic book writer/artist,NA,1959-07-24,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Takeshi Kimura,1,Japanese screenwriter,NA,1912-02-04,1912,NA,1988,NA,NA,Japan,NA,NA,NA,NA,NA,NA
Ted Cowan,1,British comic writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tex Blaisdell,1,Americancomic stripartist,NA,1920-03-30,1920,1999-03-11,1999,NA,Americans,NA,NA,NA,NA,NA,NA,NA
Valerie Tripp,2,America writer,NA,NA,1951,NA,NA,NA,NA,United States,NA,NA,NA,NA,American Girl (book series),NA
Victor Milan,1,Science fiction writer,NA,NA,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viktor Dotsenko,1,Best-selling Russian action/adventure writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vince Gilligan,7,American director,NA,1967-02-10,1967,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,Tisch School of the Arts
Vincent Giarrano,1,Comic artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade Von Grawbadger,1,Comics artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walter A. McDaniel,1,Artist,NA,1971-01-07,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne Faucher,1,American comic book inker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitney Ellsworth,1,American comic editor,NA,1908-11-27,1908,1980-09-07,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Franz,2,Comics writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Murray,1,Writer,NA,NA,1953,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Will Pfeifer,1,American comic writer,NA,NA,1967,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
William Dozier,1,American film and television producer and actor,NA,1908-02-13,1908,1991-04-23,1991,NA,NA,NA,NA,NA,1944,NA,NA,NA
William Tucci,3,American illustrator,NA,1966-08-13,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yan Moore,2,Canadian screenwriter,NA,1953-02-06,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yoshimitsu Banno,1,Japanese film director,NA,NA,NA,NA,NA,NA,Japanese people,NA,NA,NA,NA,NA,NA,NA
Zack Stentz,1,American screenwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA
Zeb Wells,1,American screenwriter,NA,NA,NA,NA,NA,NA,Americans,NA,NA,NA,NA,NA,NA,NA
